state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count,severity_weight,severity_score,time_severity,norm_crime_count,norm_severity_score,norm_population_density,norm_police_presence_index,norm_street_lighting_index,norm_repeat_offender_rate,norm_time_severity,police_risk,lighting_risk,risk_index,final_risk_index,risk_level,cluster,pca1,pca2
West Bengal,West Bengal_City_1,Rape,2021,Night,Monsoon,31.64838143,88.49886297,14086,0.832140432,0.68476798,0.371257343,184,5,920,7,0.3127853881278538,0.3566493955094991,0.7031878519710377,0.791601913203487,0.6066201721818214,0.9266458859192228,1.0,0.2083980867965129,0.3933798278181786,0.55676325972506,0.633107708102824,Medium Risk,0,0.4413532387068775,0.2501987899685398
Uttarakhand,Uttarakhand_City_3,Stalking,2021,Evening,Winter,32.65111876,81.03406955,19588,0.25084668,0.448785857,0.136821496,236,3,708,5,0.4315068493150684,0.2651122625215889,0.97983708769107,0.0636623627749697,0.3104021744369491,0.3239911845201618,0.6,0.9363376372250304,0.6895978255630508,0.4920339375456997,0.5508314952480835,Medium Risk,2,0.11703485718250284,-0.4222799571142905
Sikkim,Sikkim_City_3,Assault,2023,Afternoon,Monsoon,25.14763584,75.966932,9862,0.57777194,0.295675397,0.288165467,388,3,1164,3,0.7785388127853881,0.4620034542314335,0.4907984714400643,0.473062646141728,0.1182093366133978,0.7130449782070682,0.2,0.526937353858272,0.8817906633866022,0.5666085614915157,0.6456218843135916,Medium Risk,2,-0.15024830271897233,-0.37795868336094285
Telangana,Telangana_City_2,Stalking,2022,Night,Summer,24.27703873,90.35804822,306,0.542032815,0.220335301,0.052077657,260,3,780,7,0.4863013698630136,0.2962003454231433,0.0103077232502011,0.4283074384765877,0.0236382220589853,0.1061436426809008,1.0,0.5716925615234123,0.9763617779410146,0.4399804645219158,0.4846673136664179,Medium Risk,0,0.5666340032798419,0.08777007636199968
Jammu and Kashmir,Jammu and Kashmir_City_5,Domestic Violence,2021,Morning,Winter,26.45590193,77.11632345,12483,0.756412869,0.311465164,0.245722778,241,4,964,2,0.4429223744292236,0.3756476683937824,0.622586484312148,0.6967701900418262,0.1380295378478704,0.6039392830107692,0.0,0.3032298099581738,0.8619704621521296,0.4157520651940969,0.4538710551376841,Medium Risk,1,-0.4472259564808557,-0.13008977563787263
Uttarakhand,Uttarakhand_City_1,Cyber Crime,2022,Evening,Winter,29.91098302,74.6351468,16298,0.431801162,0.32897703,0.372582084,173,2,346,5,0.2876712328767122,0.1088082901554404,0.8144106999195494,0.2902671109283702,0.1600114143449154,0.930051343753434,0.6,0.7097328890716297,0.8399885856550846,0.4875547260493438,0.5451380545308395,Medium Risk,2,0.06736733064942424,-0.32412017667818427
Gujarat,Gujarat_City_5,Cyber Crime,2020,Night,Summer,16.57337689,71.05933354,14031,0.349256047,0.914047199,0.220343474,393,2,786,7,0.7899543378995433,0.2987910189982729,0.700422365245374,0.1868979388076792,0.894424308839614,0.5386977379588471,1.0,0.8131020611923208,0.105575691160386,0.6189671240604538,0.7121738594254801,High Risk,0,0.5495352364644205,-0.11296893879235306
Delhi,Delhi_City_4,Stalking,2021,Afternoon,Winter,15.89183523,86.7830135,6876,0.854411813,0.888584467,0.012711331,178,3,534,3,0.2990867579908676,0.1899827288428324,0.3406576830249396,0.819491803670712,0.8624620593511039,0.0049462287857976,0.2,0.180508196329288,0.1375379406488961,0.2029773811776978,0.1834171927640799,Low Risk,1,-0.3535611213467731,0.5955729053764081
Telangana,Telangana_City_5,Eve Teasing,2021,Night,Monsoon,22.06006917,88.08064495,13645,0.470092137,0.954327763,0.136049143,251,2,502,7,0.4657534246575342,0.1761658031088082,0.6810136765888978,0.3382179361885213,0.9449867322318052,0.3220057280614077,1.0,0.6617820638114786,0.0550132677681947,0.4627218003886703,0.5135733940543699,Medium Risk,0,0.4518571033400761,0.20167085352050806
Madhya Pradesh,Madhya Pradesh_City_3,Domestic Violence,2020,Night,Winter,19.71124896,69.88187517,6685,0.969957836,0.401425837,0.203926917,258,4,1032,7,0.4817351598173515,0.4050086355785837,0.331053901850362,0.964187183153172,0.2509532207653309,0.4964963622586726,1.0,0.0358128168468279,0.7490467792346691,0.5185087731768958,0.5844831563245086,Medium Risk,0,0.5176633273872125,0.3610783166136473
Tripura,Tripura_City_1,Assault,2020,Afternoon,Monsoon,16.26037434,69.06972147,4837,0.528829611,0.226440586,0.144577787,264,3,792,3,0.4954337899543378,0.3013816925734024,0.2381335478680611,0.411773398069465,0.0313019182549967,0.3439299664785764,0.2,0.5882266019305349,0.9686980817450032,0.3824529545743045,0.4115451876485112,Medium Risk,2,-0.2107003394311706,-0.1749992302742249
Maharashtra,Maharashtra_City_5,Assault,2022,Night,Monsoon,23.39710292,80.98571177,5031,0.264682661,0.495723565,0.104442376,485,3,1455,7,1.0,0.5876511226252159,0.2478881737731295,0.0809888139095718,0.3693210183974022,0.2407554970394654,1.0,0.9190111860904282,0.6306789816025977,0.685299430974188,0.7964875957513113,High Risk,0,0.7038842771686026,-0.3478388691649501
Manipur,Manipur_City_5,Kidnapping,2023,Morning,Monsoon,36.51927109,79.56590883,11874,0.272231816,0.868241996,0.135104225,389,4,1556,2,0.7808219178082191,0.6312607944732297,0.5919650040225262,0.0904424309111445,0.836927048680812,0.3195766657724114,0.0,0.9095575690888554,0.1630729513191879,0.5137852043588786,0.5784791176536214,Medium Risk,2,-0.3450988219063399,-0.3689941622734889
Telangana,Telangana_City_1,Eve Teasing,2021,Evening,Winter,17.45280825,74.38699038,2086,0.847600837,0.47893279,0.047508855,203,2,406,5,0.3561643835616438,0.1347150259067357,0.099808930008045,0.8109625896711445,0.3482442957717453,0.0943988091142943,0.6,0.1890374103288554,0.6517557042282547,0.2789002224628991,0.2799212753004132,Low Risk,1,0.08115546408557095,0.4866993664633692
Jharkhand,Jharkhand_City_4,Stalking,2022,Morning,Monsoon,23.01478917,92.29359307,1902,0.472853081,0.290778817,0.370630511,242,3,726,2,0.4452054794520547,0.2728842832469775,0.0905571198712791,0.3416753969425779,0.1120628747333274,0.9250345143793262,0.0,0.6583246030574221,0.8879371252666726,0.4046464162349896,0.4397548755318223,Medium Risk,2,-0.4114541049356333,-0.2852252708571088
Delhi,Delhi_City_3,Eve Teasing,2020,Morning,Monsoon,27.13953733,91.69944381,9308,0.613308713,0.40866334,0.398538943,379,2,758,2,0.7579908675799086,0.2867012089810017,0.4629424778761061,0.5175644534849115,0.2600381405044948,0.9967775859646028,0.0,0.4824355465150884,0.7399618594955051,0.5181037751230583,0.5839683709851695,Medium Risk,2,-0.38465351221747884,-0.32495076220590374
Jharkhand,Jharkhand_City_5,Human Trafficking,2020,Afternoon,Summer,24.19051015,93.59645395,7258,0.471223833,0.47936766,0.293122715,243,5,1215,3,0.4474885844748858,0.4840241796200345,0.3598652453740949,0.3396351306356099,0.3487901689889267,0.7257883741144402,0.2,0.66036486936439,0.6512098310110732,0.4733117066970788,0.527034022965763,Medium Risk,2,-0.21596715181270126,-0.2414973559116299
Tripura,Tripura_City_2,Eve Teasing,2023,Morning,Monsoon,32.83340446,79.73073569,12283,0.880742759,0.948507995,0.316282854,167,2,334,2,0.273972602739726,0.1036269430051813,0.6125301689460981,0.8524653853196638,0.9376814329897112,0.7853252019162301,0.0,0.1475346146803362,0.0623185670102888,0.2839443427028024,0.2863327607995696,Low Risk,1,-0.5866345944450752,0.39724126668133475
Karnataka,Karnataka_City_4,Harassment,2019,Evening,Summer,24.83991202,78.79620023,5692,0.730801415,0.204049267,0.07271514,302,2,604,5,0.5821917808219178,0.2202072538860103,0.2811242960579244,0.6646976101346183,0.0031950786489868,0.1591955812566307,0.6,0.3353023898653817,0.9968049213510132,0.4091968910320888,0.4455388976780583,Medium Risk,0,0.16332231539030784,0.07923152744158901
Haryana,Haryana_City_1,Domestic Violence,2023,Morning,Winter,28.06496073,86.90687653,14092,0.340740202,0.214460291,0.202618549,281,4,1124,2,0.5342465753424657,0.4447322970639032,0.7034895414320192,0.1762337602241479,0.0162635799597992,0.4931329938299523,0.0,0.8237662397758521,0.9837364200402008,0.4794387543100897,0.5348219968948328,Medium Risk,2,-0.38235105142544146,-0.5966680873542408
Telangana,Telangana_City_4,Assault,2023,Afternoon,Winter,28.9072578,76.93376296,4655,0.607051261,0.709066095,0.107680109,239,3,717,3,0.4383561643835616,0.2689982728842832,0.2289823008849557,0.5097284036735452,0.6371205290850204,0.2490786056395119,0.2,0.4902715963264548,0.3628794709149796,0.3097561836134553,0.3191417018704023,Low Risk,1,-0.27303552318297636,0.1967333061237313
Sikkim,Sikkim_City_4,Eve Teasing,2020,Evening,Monsoon,36.21730609,79.39983402,10777,0.92487903,0.547515492,0.146530579,196,2,392,5,0.3401826484018264,0.1286701208981001,0.5368061142397426,0.9077361277950298,0.4343331503345686,0.3489499294864285,0.6,0.0922638722049702,0.5656668496654313,0.3461328292654402,0.3653793657271468,Medium Risk,1,0.041635297721798525,0.4157220346808017
West Bengal,West Bengal_City_5,Rape,2020,Afternoon,Monsoon,27.39879773,93.06085939,8096,0.599354704,0.657603359,0.309736066,124,5,620,3,0.1757990867579908,0.2271157167530224,0.4020012067578439,0.5000901988534332,0.5725216161563791,0.7684956401501791,0.2,0.4999098011465668,0.4274783838436209,0.332572576825574,0.3481431862254527,Medium Risk,1,-0.339187148207294,0.09321168615312608
Jharkhand,Jharkhand_City_4,Cyber Crime,2022,Night,Winter,35.27329895,95.66392873,3544,0.906795218,0.798175019,0.38169802,295,2,590,7,0.5662100456621004,0.2141623488773748,0.1731194690265486,0.885090224700386,0.748975048880488,0.9534853098399132,1.0,0.1149097752996139,0.2510249511195119,0.5237245783344668,0.5911128672639197,Medium Risk,0,0.4853278187958946,0.4779148875482865
Haryana,Haryana_City_2,Assault,2021,Morning,Monsoon,35.94497934,92.73727421,290,0.444557615,0.352728825,0.114705194,280,3,840,2,0.5319634703196346,0.3221070811744386,0.0095032180209171,0.3062416962906476,0.1898259997393636,0.2671377060593297,0.0,0.6937583037093524,0.8101740002606364,0.3297352307830088,0.3445366895237912,Medium Risk,2,-0.3836916816428099,-0.15060191546451188
Nagaland,Nagaland_City_2,Human Trafficking,2020,Morning,Winter,24.14723661,95.14848845,669,0.944013468,0.256332905,0.0914783,234,5,1170,2,0.4269406392694063,0.464594127806563,0.0285599356395816,0.9316977034140675,0.0688244338149191,0.2074292738928204,0.0,0.0683022965859323,0.9311755661850808,0.3068279695554242,0.3154197045589639,Low Risk,1,-0.4139542841005587,0.2507819163789164
Tamil Nadu,Tamil Nadu_City_1,Domestic Violence,2019,Morning,Summer,12.06243644,83.03155992,1509,0.458040611,0.878935836,0.063282319,328,4,1312,2,0.641552511415525,0.5259067357512953,0.0707964601769911,0.3231261131846889,0.8503505564988345,0.1349470117829281,0.0,0.676873886815311,0.1496494435011655,0.3605126760926672,0.3836573160986516,Medium Risk,2,-0.37714824914506373,0.06367410199539975
Assam,Assam_City_5,Domestic Violence,2021,Night,Winter,18.42524339,76.51416348,19290,0.535824685,0.404965555,0.248490347,232,4,928,7,0.4223744292237442,0.3601036269430052,0.9648531777956556,0.4205331533657411,0.2553964733524834,0.6110537601295193,1.0,0.579466846634259,0.7446035266475166,0.5999664145047695,0.6880224181441582,High Risk,0,0.4965811215399031,-0.20337900418744886
Nagaland,Nagaland_City_2,Human Trafficking,2023,Night,Winter,13.63394465,70.05728659,8273,0.836634136,0.912004273,0.141818111,207,5,1035,7,0.365296803652968,0.4063039723661485,0.410901045856798,0.797229265739557,0.891859913530479,0.3368357795740534,1.0,0.202770734260443,0.108140086469521,0.4500612065630652,0.4974807535416743,Medium Risk,0,0.45710137202263534,0.5578486061668936
Uttar Pradesh,Uttar Pradesh_City_4,Rape,2020,Morning,Winter,10.72547626,84.77012409,953,0.462522134,0.324033293,0.392917946,276,5,1380,2,0.5228310502283104,0.5552677029360967,0.0428399034593724,0.3287382117607202,0.1538057583532654,0.9823279174862154,0.0,0.6712617882392797,0.8461942416467345,0.497030667754272,0.5571827441778815,Medium Risk,2,-0.35093183966791774,-0.3687293033175726
Sikkim,Sikkim_City_4,Cyber Crime,2022,Night,Summer,25.13416456,68.88450725,10007,0.231067788,0.442612412,0.219462147,312,2,624,7,0.6050228310502282,0.2288428324697755,0.4980893000804505,0.0388937536149417,0.3026529199856358,0.5364321464683959,1.0,0.961106246385058,0.6973470800143642,0.5716628341782763,0.6520462743952541,Medium Risk,0,0.5591469121305254,-0.3300903888554495
West Bengal,West Bengal_City_1,Assault,2019,Night,Monsoon,32.00820111,75.87474456,16079,0.698312381,0.268277972,0.030155871,260,3,780,7,0.4863013698630136,0.2962003454231433,0.8033990345937249,0.6240124097132369,0.0838185519484708,0.04979019859364,1.0,0.3759875902867631,0.9161814480515292,0.4980423139868723,0.5584686285030175,Medium Risk,0,0.5083861374643549,0.03431440958245041
Karnataka,Karnataka_City_1,Domestic Violence,2020,Afternoon,Monsoon,12.01223968,71.84961725,4565,0.613040279,0.458365178,0.320122616,412,4,1648,3,0.8333333333333333,0.6709844559585492,0.2244569589702333,0.517228300335824,0.3224266754894098,0.7951959219923859,0.2,0.482771699664176,0.6775733245105902,0.60582178272759,0.6954650655568524,High Risk,2,-0.10837021618290932,-0.26997574592070445
Manipur,Manipur_City_2,Rape,2020,Evening,Summer,29.57723665,75.27495529,8408,0.264698373,0.54265158,0.278514961,257,5,1285,5,0.4794520547945204,0.5142487046632124,0.4176890587288817,0.0810084896521322,0.4282276951605456,0.68823681475338,0.6,0.9189915103478676,0.5717723048394543,0.5579678087096945,0.6346387874547619,Medium Risk,2,0.18661898638558838,-0.3526029990584476
Haryana,Haryana_City_1,Dowry Death,2023,Morning,Winter,13.02553528,72.53667424,13507,0.639381332,0.771676738,0.267476977,345,5,1725,2,0.6803652968036529,0.7042314335060449,0.6740748189863234,0.5502145387267603,0.7157129202000838,0.659861918010018,0.0,0.4497854612732397,0.2842870797999162,0.5492395792312174,0.623544500627127,Medium Risk,2,-0.37906461286553245,-0.1758279040498094
Rajasthan,Rajasthan_City_5,Harassment,2019,Afternoon,Winter,22.98419147,87.05622853,17064,0.689376597,0.53568005,0.106615086,231,2,462,3,0.4200913242009132,0.158894645941278,0.8529263877715205,0.6128223520783385,0.4194766396502165,0.2463407943096254,0.2,0.3871776479216615,0.5805233603497835,0.345375300872716,0.3644164857651014,Medium Risk,1,-0.3191952751925812,0.03134318011262932
Maharashtra,Maharashtra_City_4,Dowry Death,2020,Night,Winter,12.60074698,71.48477479,9535,0.236802114,0.232583042,0.343629628,415,5,2075,7,0.8401826484018264,0.8553540587219344,0.4743563958165728,0.0460747058892242,0.0390122735752426,0.8556244421139019,1.0,0.9539252941107758,0.9609877264247572,0.8454091337064594,1.0000000000000002,,0,0.7233454558103921,-0.7241242489059976
Goa,Goa_City_4,Harassment,2022,Evening,Summer,10.83719066,82.25686038,4552,0.518803788,0.692680078,0.257686524,271,2,542,5,0.5114155251141552,0.1934369602763385,0.22380329847144,0.3992183120012151,0.6165518814050712,0.6346939984926732,0.6,0.6007816879987848,0.3834481185949288,0.4330090412983541,0.4758060699250901,Medium Risk,2,0.12230357762651467,0.08793496863444827
Jharkhand,Jharkhand_City_4,Eve Teasing,2022,Afternoon,Winter,18.86376582,86.14993756,2589,0.600831907,0.631501959,0.27674587,103,2,206,3,0.1278538812785388,0.0483592400690846,0.1251005631536605,0.5019400630296984,0.5397576747694375,0.6836890844382599,0.2,0.4980599369703016,0.4602423252305625,0.2370318124280541,0.2267031339707197,Low Risk,1,-0.3599153811206393,0.23825657320000315
Jharkhand,Jharkhand_City_2,Harassment,2023,Morning,Monsoon,10.04649367,86.63015907,16447,0.668620465,0.952184193,0.234434929,245,2,490,2,0.4520547945205478,0.1709844559585492,0.8219026548672566,0.5868299698366057,0.9422960029284422,0.5749220684696299,0.0,0.4131700301633942,0.0577039970715578,0.347732089738692,0.3674121553606121,Medium Risk,1,-0.5344506683109947,0.12209552126336526
Karnataka,Karnataka_City_1,Harassment,2023,Night,Monsoon,26.65535833,81.28933382,2838,0.856511581,0.700751736,0.329966469,293,2,586,7,0.5616438356164383,0.2124352331606217,0.1376206757843926,0.8221212903436121,0.6266838792905269,0.8205011147188687,1.0,0.1778787096563878,0.373316120709473,0.5079167434988276,0.5710198284382428,Medium Risk,0,0.49804966753817725,0.4232494084060594
Jammu and Kashmir,Jammu and Kashmir_City_5,Stalking,2019,Morning,Winter,13.67794291,70.01147773,5826,0.501807267,0.231170506,0.251119015,344,3,1032,2,0.6780821917808219,0.4050086355785837,0.2878620273531778,0.3779339960886146,0.0372391791546007,0.61781117009429,0.0,0.6220660039113854,0.9627608208453992,0.4714719263271519,0.5246955130567199,Medium Risk,2,-0.3499362646550176,-0.3870271802964024
Assam,Assam_City_5,Assault,2020,Night,Winter,10.06447081,77.25029328,16381,0.745290935,0.472499656,0.111670866,371,3,1113,7,0.7397260273972602,0.4399827288428324,0.8185840707964601,0.6828424717272903,0.340169065120886,0.2593374824237915,1.0,0.3171575282727097,0.659830934879114,0.6145356416608291,0.7065410862571891,High Risk,0,0.5618900517164488,0.017510164355516444
Delhi,Delhi_City_5,Domestic Violence,2023,Morning,Monsoon,26.23934256,93.44668839,7687,0.534356825,0.974064441,0.223709034,271,4,1084,2,0.5114155251141552,0.427461139896373,0.3814360418342719,0.4186949891934691,0.9697613175477248,0.5473494462312626,0.0,0.581305010806531,0.0302386824522753,0.3855423720336889,0.415472087543757,Medium Risk,2,-0.4503073680875767,0.06670835768200001
Assam,Assam_City_4,Human Trafficking,2023,Evening,Summer,36.72464912,79.96591263,5173,0.400013159,0.66443521,0.348175477,328,5,1640,5,0.641552511415525,0.6675302245250432,0.2550281576830249,0.2504597940025891,0.581097338750888,0.8673102713365131,0.6,0.7495402059974108,0.418902661249112,0.6312921838162475,0.7278400089505005,High Risk,2,0.2323764460604809,-0.24873533152403066
Gujarat,Gujarat_City_3,Domestic Violence,2021,Night,Winter,32.8939698,80.44082679,5744,0.791927008,0.390588922,0.157314266,208,4,832,7,0.367579908675799,0.3186528497409326,0.2837389380530973,0.7412436533958859,0.2373501171817965,0.3766711152697867,1.0,0.258756346604114,0.7626498828182036,0.4575030621710765,0.5069399549580337,Medium Risk,0,0.49746929162531284,0.293757496665477
Sikkim,Sikkim_City_3,Dowry Death,2021,Morning,Winter,31.96726652,77.28143843,798,0.27998791,0.242788237,0.383831184,227,5,1135,2,0.410958904109589,0.4494818652849741,0.0350462590506838,0.1001551924194453,0.0518224067796803,0.9589689478155304,0.0,0.8998448075805547,0.9481775932203196,0.4548612804660824,0.5035820363740326,Medium Risk,2,-0.36970279691557234,-0.5054499598345796
Manipur,Manipur_City_5,Human Trafficking,2019,Morning,Monsoon,18.29225052,95.74722567,19266,0.960485718,0.65875031,0.256416513,130,5,650,2,0.1894977168949771,0.2400690846286701,0.9636464199517296,0.9523254879348726,0.5739613333875502,0.631429232844532,0.0,0.0476745120651274,0.4260386666124498,0.3221563862366434,0.3349033640679504,Medium Risk,1,-0.5835995468370566,0.24220356738641086
Gujarat,Gujarat_City_5,Kidnapping,2020,Evening,Winter,25.47078685,84.05738852,7751,0.956955634,0.82503684,0.054251195,217,4,868,5,0.3881278538812784,0.3341968911917098,0.3846540627514078,0.9479048524969488,0.7826935133609572,0.1117310684570003,0.6,0.0520951475030511,0.2173064866390428,0.3392763345190425,0.356664205391791,Medium Risk,1,0.06647086980683903,0.6204724628596329
Delhi,Delhi_City_2,Cyber Crime,2021,Afternoon,Summer,22.33818884,69.66920404,4829,0.553224401,0.910163346,0.146856855,216,2,432,3,0.3858447488584474,0.1459412780656304,0.2377312952534191,0.4423223802394954,0.8895490786968825,0.3497886739355813,0.2,0.5576776197605047,0.1104509213031175,0.2725943643998797,0.2719060188021736,Low Risk,1,-0.31632998287291025,0.2760011349695311
Uttarakhand,Uttarakhand_City_5,Kidnapping,2023,Morning,Monsoon,36.09090638,87.9528703,17437,0.694574451,0.280898141,0.042801654,264,4,1056,2,0.4954337899543378,0.4153713298791018,0.8716814159292035,0.6193314939552892,0.0996600959809478,0.0822981988647006,0.0,0.3806685060447108,0.9003399040190521,0.3912645718841736,0.4227454671659208,Medium Risk,1,-0.4357160781794804,-0.18613725056704064
Uttarakhand,Uttarakhand_City_5,Kidnapping,2019,Afternoon,Summer,10.11012718,91.83394172,19165,0.317283857,0.610660935,0.100958948,254,4,1016,3,0.4726027397260274,0.3981001727115716,0.9585679806918744,0.1468599691327271,0.5135968524081911,0.2318007902911193,0.2,0.853140030867273,0.4864031475918089,0.4452798036452092,0.4914032030441776,Medium Risk,2,-0.25499338697689644,-0.36332585576012344
Bihar,Bihar_City_1,Eve Teasing,2020,Evening,Summer,18.85385308,78.74862226,8791,0.389348155,0.926154965,0.240836608,155,2,310,5,0.2465753424657534,0.0932642487046632,0.4369469026548672,0.2371042776386728,0.9096226558842476,0.5913786044284743,0.6,0.7628957223613272,0.0903773441157522,0.350025032046216,0.3703266708074869,Medium Risk,2,0.030568021310508953,0.15086403092929468
Punjab,Punjab_City_2,Cyber Crime,2020,Evening,Monsoon,28.53725467,81.96834265,19407,0.6467234,0.539377607,0.36347821,168,2,336,5,0.276255707762557,0.1044905008635578,0.9707361222847948,0.5594088258849259,0.4241180206038388,0.9066483849600008,0.6,0.4405911741150741,0.5758819793961611,0.46908107980457,0.5216565534203144,Medium Risk,1,0.022282589462915725,-0.057921516720116945
Meghalaya,Meghalaya_City_3,Harassment,2019,Night,Summer,22.28612802,68.3292557,9535,0.65717842,0.792779089,0.309205993,112,2,224,7,0.1484018264840182,0.0561312607944732,0.4743563958165728,0.5725013845651734,0.7422017748703569,0.7671330030380541,1.0,0.4274986154348266,0.2577982251296431,0.3979037038852117,0.4311843418412115,Medium Risk,0,0.3771137959854495,0.37698706766690915
Arunachal Pradesh,Arunachal Pradesh_City_1,Cyber Crime,2020,Evening,Winter,24.91769419,95.90300391,1314,0.582171913,0.266313057,0.216064347,235,2,470,5,0.4292237442922374,0.1623488773747841,0.0609915526950925,0.4785726217031334,0.0813520804224101,0.5276975601386281,0.6,0.5214273782968666,0.9186479195775898,0.3951507096007817,0.4276850630583128,Medium Risk,0,0.13991354028020686,0.025548079005446894
Telangana,Telangana_City_4,Eve Teasing,2022,Morning,Winter,35.93345364,68.35247977,1952,0.458149111,0.234720627,0.370610899,386,2,772,2,0.7739726027397259,0.2927461139896373,0.0930711987127916,0.3232619850067235,0.041695490170889,0.9249840986082096,0.0,0.6767380149932765,0.958304509829111,0.4964865400859708,0.5564911138262882,Medium Risk,2,-0.3343150361672041,-0.4379052958594568
Assam,Assam_City_2,Eve Teasing,2019,Evening,Monsoon,10.14010038,84.06177425,13943,0.260347638,0.332972346,0.094555552,298,2,596,5,0.5730593607305935,0.2167530224525043,0.6959975864843121,0.0755601736001585,0.1650265590975459,0.2153398405101759,0.6,0.9244398263998416,0.8349734409024541,0.4773244938858468,0.5321346005984008,Medium Risk,2,0.163251633961775,-0.40172942730602346
Nagaland,Nagaland_City_2,Rape,2020,Morning,Summer,26.19918432,84.94511505,19187,0.789680565,0.932203473,0.383893939,317,5,1585,2,0.6164383561643835,0.6437823834196891,0.95967417538214,0.7384304893082674,0.9172150824050644,0.9591302695428612,0.0,0.2615695106917326,0.0827849175949355,0.5721098642799948,0.6526144858728832,Medium Risk,1,-0.44208090136021394,-0.07093217523301747
