state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count
Delhi,Delhi_City_2,Cyber Crime,2021,Afternoon,Summer,22.33818884,69.66920404,4829,0.553224401,0.910163346,0.146856855,216
Uttarakhand,Uttarakhand_City_5,Kidnapping,2023,Morning,Monsoon,36.09090638,87.9528703,17437,0.694574451,0.280898141,0.042801654,264
Uttarakhand,Uttarakhand_City_5,Kidnapping,2019,Afternoon,Summer,10.11012718,91.83394172,19165,0.317283857,0.610660935,0.100958948,254
Bihar,Bihar_City_1,Eve Teasing,2020,Evening,Summer,18.85385308,78.74862226,8791,0.389348155,0.926154965,0.240836608,155
Punjab,Punjab_City_2,Cyber Crime,2020,Evening,Monsoon,28.53725467,81.96834265,19407,0.6467234,0.539377607,0.36347821,168
Meghalaya,Meghalaya_City_3,Harassment,2019,Night,Summer,22.28612802,68.3292557,9535,0.65717842,0.792779089,0.309205993,112
Arunachal Pradesh,Arunachal Pradesh_City_1,Cyber Crime,2020,Evening,Winter,24.91769419,95.90300391,1314,0.582171913,0.266313057,0.216064347,235
Telangana,Telangana_City_4,Eve Teasing,2022,Morning,Winter,35.93345364,68.35247977,1952,0.458149111,0.234720627,0.370610899,386
Assam,Assam_City_2,Eve Teasing,2019,Evening,Monsoon,10.14010038,84.06177425,13943,0.260347638,0.332972346,0.094555552,298
Nagaland,Nagaland_City_2,Rape,2020,Morning,Summer,26.19918432,84.94511505,19187,0.789680565,0.932203473,0.383893939,317
Kerala,Kerala_City_1,Cyber Crime,2020,Afternoon,Monsoon,33.81764973,81.21404583,767,0.468528052,0.335743923,0.262270861,296
Bihar,Bihar_City_3,Eve Teasing,2022,Afternoon,Winter,14.65244763,75.71219982,5064,0.979515846,0.988968596,0.282283068,166
West Bengal,West Bengal_City_2,Stalking,2022,Morning,Winter,16.11314171,79.92499491,2879,0.416766114,0.3065481,0.039718148,214
Telangana,Telangana_City_3,Rape,2020,Evening,Winter,20.08253267,84.85371601,10236,0.534594429,0.946182787,0.347764917,74
Uttar Pradesh,Uttar Pradesh_City_1,Rape,2019,Night,Winter,8.76464226,78.91743764,2293,0.989820903,0.320333513,0.241710979,201
Gujarat,Gujarat_City_4,Cyber Crime,2021,Afternoon,Winter,36.12751754,92.42144877,13872,0.250809464,0.229457494,0.062202326,160
Andhra Pradesh,Andhra Pradesh_City_2,Rape,2021,Evening,Winter,28.05971752,83.49604198,9960,0.99730947,0.644345364,0.309905092,212
Tripura,Tripura_City_3,Cyber Crime,2023,Night,Monsoon,29.95535486,78.95766593,15544,0.560435308,0.303327532,0.382079901,404
Uttarakhand,Uttarakhand_City_5,Cyber Crime,2019,Morning,Summer,33.46839936,89.95297483,3519,0.414937986,0.217747794,0.204284423,257
Goa,Goa_City_5,Kidnapping,2019,Morning,Monsoon,32.10977321,76.92553995,10276,0.641525471,0.648750377,0.351894905,218
Maharashtra,Maharashtra_City_3,Cyber Crime,2022,Morning,Summer,20.19553758,90.75537965,12273,0.763263814,0.370371329,0.063184875,344
Delhi,Delhi_City_5,Domestic Violence,2021,Morning,Monsoon,36.43341903,85.63454764,8117,0.513795236,0.549979938,0.362621891,367
Maharashtra,Maharashtra_City_1,Eve Teasing,2023,Afternoon,Summer,21.07640298,94.40366707,4737,0.69766936,0.889890967,0.380313043,195
Maharashtra,Maharashtra_City_1,Cyber Crime,2023,Evening,Monsoon,34.87104113,82.2713725,4264,0.98402606,0.594094475,0.138213128,307
West Bengal,West Bengal_City_1,Kidnapping,2023,Evening,Monsoon,14.96422294,70.20003652,17244,0.568095327,0.667812885,0.166117191,109
Maharashtra,Maharashtra_City_3,Rape,2021,Afternoon,Winter,13.27452245,78.02435122,18371,0.579169312,0.734046191,0.07720475,204
Maharashtra,Maharashtra_City_4,Stalking,2023,Evening,Summer,14.49162291,91.83192847,12991,0.478095372,0.225443745,0.223998971,265
Nagaland,Nagaland_City_1,Kidnapping,2021,Afternoon,Summer,21.36258427,73.98367783,19077,0.302998719,0.464079611,0.135417278,379
Uttar Pradesh,Uttar Pradesh_City_5,Human Trafficking,2021,Night,Summer,21.95321643,87.9457568,12494,0.93669792,0.248862368,0.117982283,389
Manipur,Manipur_City_2,Eve Teasing,2022,Afternoon,Monsoon,29.69953102,73.35110956,402,0.496377682,0.587618388,0.251119361,212
Assam,Assam_City_3,Eve Teasing,2023,Evening,Winter,28.89496578,69.80789951,15134,0.401949555,0.770679669,0.359130667,334
Uttarakhand,Uttarakhand_City_2,Kidnapping,2020,Afternoon,Winter,29.73887073,68.88369243,19829,0.557929893,0.626093813,0.104563496,211
Andhra Pradesh,Andhra Pradesh_City_1,Domestic Violence,2022,Morning,Summer,18.94124073,68.58206474,18460,0.872567989,0.271363463,0.21878087,114
Maharashtra,Maharashtra_City_5,Domestic Violence,2022,Night,Summer,33.82529114,85.21418115,9895,0.484083443,0.719058272,0.19703702,406
Haryana,Haryana_City_2,Harassment,2019,Night,Winter,29.36785179,84.17452571,12299,0.545327637,0.302064242,0.120672603,190
Goa,Goa_City_5,Dowry Death,2019,Afternoon,Winter,25.61910145,75.08624151,10654,0.989212199,0.684619855,0.102518449,195
Manipur,Manipur_City_2,Dowry Death,2023,Evening,Summer,14.53465113,78.59534777,6867,0.328545099,0.349253619,0.121187116,233
Punjab,Punjab_City_5,Rape,2023,Night,Winter,9.613951191,92.42710702,2690,0.528317462,0.985902894,0.053695172,337
Telangana,Telangana_City_4,Dowry Death,2021,Afternoon,Monsoon,33.09970665,91.69509006,14017,0.33671007,0.734914576,0.372456636,326
Himachal Pradesh,Himachal Pradesh_City_5,Dowry Death,2020,Evening,Summer,21.82196504,92.3188942,6569,0.974395253,0.768761983,0.087807702,59
Assam,Assam_City_3,Domestic Violence,2021,Evening,Summer,15.02988224,71.33026792,6333,0.814223601,0.269832144,0.207380543,354
Delhi,Delhi_City_5,Assault,2020,Afternoon,Winter,9.502882568,77.76152407,109,0.638882494,0.639137584,0.08867488,251
Madhya Pradesh,Madhya Pradesh_City_2,Domestic Violence,2019,Night,Summer,31.48635893,75.38457899,10668,0.808182288,0.676510992,0.193914714,227
Karnataka,Karnataka_City_5,Dowry Death,2022,Morning,Winter,34.95634518,92.08796283,335,0.526814634,0.946350454,0.396462496,146
Uttarakhand,Uttarakhand_City_4,Rape,2023,Morning,Monsoon,18.99762896,94.86703328,3491,0.659578491,0.873463021,0.064511227,315
Madhya Pradesh,Madhya Pradesh_City_4,Harassment,2021,Evening,Summer,31.1865768,91.92884762,15624,0.851659776,0.732157777,0.213995516,186
West Bengal,West Bengal_City_4,Eve Teasing,2023,Afternoon,Summer,17.16970089,85.0608936,10635,0.561558881,0.771025964,0.360870304,205
Haryana,Haryana_City_3,Rape,2022,Morning,Summer,16.73995835,89.68067203,18674,0.661989017,0.484289961,0.162678023,197
Karnataka,Karnataka_City_4,Stalking,2022,Afternoon,Monsoon,14.64173634,83.74263001,8489,0.951865699,0.702166442,0.14061319,85
Nagaland,Nagaland_City_1,Rape,2023,Morning,Winter,25.98210992,83.47037167,9546,0.658520679,0.998154093,0.303437217,307
Rajasthan,Rajasthan_City_4,Stalking,2022,Afternoon,Winter,13.9317932,88.70785838,4712,0.901412509,0.473665399,0.330290349,229
Himachal Pradesh,Himachal Pradesh_City_4,Cyber Crime,2020,Night,Summer,18.9858254,81.25300636,7963,0.601830678,0.63188851,0.199679418,301
Karnataka,Karnataka_City_4,Kidnapping,2022,Evening,Winter,8.353889097,85.35483833,10247,0.634179555,0.401439247,0.144821437,113
Meghalaya,Meghalaya_City_1,Eve Teasing,2019,Evening,Winter,35.81316904,77.93320346,11497,0.520681133,0.569604643,0.379440502,318
Rajasthan,Rajasthan_City_1,Harassment,2019,Afternoon,Winter,25.00066513,82.67077169,17468,0.404812425,0.780876469,0.241255533,228
Uttarakhand,Uttarakhand_City_1,Human Trafficking,2020,Afternoon,Winter,34.75248205,88.5099204,19661,0.816997335,0.499548296,0.0368794,128
Meghalaya,Meghalaya_City_1,Human Trafficking,2020,Night,Monsoon,29.35688283,95.09664343,3897,0.928548959,0.298248625,0.102003353,298
Himachal Pradesh,Himachal Pradesh_City_3,Stalking,2023,Morning,Winter,32.28723288,77.63224597,4762,0.381916497,0.686315515,0.157929222,242
Jharkhand,Jharkhand_City_1,Human Trafficking,2019,Evening,Monsoon,13.96181444,90.84590677,13324,0.29141384,0.531603667,0.346772075,372
Sikkim,Sikkim_City_4,Rape,2020,Morning,Monsoon,29.3875362,81.11432029,13326,0.226277336,0.93019957,0.106808313,142
Tamil Nadu,Tamil Nadu_City_2,Assault,2021,Morning,Monsoon,12.79988621,68.98249565,13572,0.489915119,0.66447068,0.256583072,279
Uttar Pradesh,Uttar Pradesh_City_1,Cyber Crime,2023,Night,Monsoon,27.24258379,73.16304304,13495,0.56719119,0.645844295,0.345646487,258
Kerala,Kerala_City_1,Eve Teasing,2021,Morning,Summer,16.68828144,76.98817086,9281,0.799968376,0.367924474,0.360241173,121
Uttarakhand,Uttarakhand_City_4,Assault,2022,Evening,Monsoon,21.57872302,86.12430362,9792,0.577653556,0.651872907,0.035626369,194
Delhi,Delhi_City_4,Stalking,2022,Afternoon,Monsoon,21.14537621,83.20731781,5332,0.520610449,0.647712265,0.070543696,396
Mizoram,Mizoram_City_3,Human Trafficking,2023,Night,Summer,10.18959755,89.8441404,4973,0.416595739,0.715199635,0.169406327,253
Maharashtra,Maharashtra_City_5,Kidnapping,2021,Afternoon,Winter,32.35387692,93.14281904,11371,0.221676794,0.37757773,0.100119171,400
Himachal Pradesh,Himachal Pradesh_City_4,Domestic Violence,2022,Night,Summer,8.571605595,71.01914888,19794,0.655554814,0.909968386,0.227121418,397
Andhra Pradesh,Andhra Pradesh_City_4,Cyber Crime,2020,Night,Winter,31.35413405,96.67313468,9603,0.884557174,0.864175892,0.164901577,265
Kerala,Kerala_City_3,Cyber Crime,2021,Evening,Monsoon,19.78537694,77.39571177,14389,0.210401539,0.268406825,0.09107564,327
Andhra Pradesh,Andhra Pradesh_City_5,Domestic Violence,2019,Afternoon,Monsoon,13.26162762,84.90820527,8805,0.928499203,0.699809017,0.140987684,277
Maharashtra,Maharashtra_City_4,Eve Teasing,2020,Night,Monsoon,8.992615214,92.08898069,904,0.527529322,0.641637745,0.180089346,449
Tamil Nadu,Tamil Nadu_City_4,Dowry Death,2019,Morning,Summer,24.40752198,96.57565206,16186,0.839884205,0.540170804,0.01876303,85
Haryana,Haryana_City_4,Domestic Violence,2021,Evening,Summer,29.50892138,88.26652974,1404,0.406310148,0.311484859,0.335622792,137
Nagaland,Nagaland_City_5,Cyber Crime,2022,Evening,Summer,11.83601012,94.11659674,9096,0.214712541,0.931439045,0.055922922,143
Tamil Nadu,Tamil Nadu_City_4,Kidnapping,2021,Evening,Winter,15.9476014,84.07116207,12975,0.365137017,0.208796663,0.063385396,279
Bihar,Bihar_City_2,Cyber Crime,2019,Afternoon,Winter,29.23335278,75.27118916,14160,0.73202934,0.340297023,0.366620659,287
Gujarat,Gujarat_City_4,Kidnapping,2023,Evening,Winter,23.04861345,69.36201304,3167,0.966901742,0.347496737,0.045231415,103
Uttarakhand,Uttarakhand_City_2,Kidnapping,2020,Evening,Winter,19.28957281,76.37211837,6919,0.775236724,0.437697372,0.23089781,183
Jharkhand,Jharkhand_City_1,Eve Teasing,2020,Evening,Winter,19.50283182,95.66852116,7815,0.631874223,0.329611102,0.338196568,309
Arunachal Pradesh,Arunachal Pradesh_City_5,Kidnapping,2020,Night,Winter,30.35645391,71.09134934,15148,0.481232129,0.53023484,0.284920964,292
West Bengal,West Bengal_City_1,Human Trafficking,2021,Night,Summer,21.33076387,70.2020689,1352,0.201871513,0.974159511,0.012048989,170
Manipur,Manipur_City_3,Stalking,2019,Evening,Summer,17.12330015,91.4154773,7060,0.309454905,0.960189883,0.183942251,103
Bihar,Bihar_City_1,Rape,2022,Morning,Monsoon,23.71512747,93.31542924,5995,0.711159508,0.807228676,0.292400298,277
Rajasthan,Rajasthan_City_1,Stalking,2020,Evening,Winter,15.24037226,82.19332395,12018,0.754540169,0.241276645,0.271267811,369
Haryana,Haryana_City_1,Eve Teasing,2022,Afternoon,Monsoon,25.05964895,96.98125149,19641,0.932390638,0.227156783,0.281993904,251
Madhya Pradesh,Madhya Pradesh_City_4,Dowry Death,2021,Night,Summer,34.80748967,96.16068911,1600,0.579371373,0.889634121,0.339374265,228
Odisha,Odisha_City_5,Harassment,2023,Morning,Winter,26.85485316,78.57622023,2767,0.296453509,0.261562561,0.281552623,331
Rajasthan,Rajasthan_City_2,Kidnapping,2019,Afternoon,Winter,19.73007804,84.60040502,6740,0.630721192,0.72932414,0.297763749,237
Goa,Goa_City_5,Assault,2020,Morning,Summer,33.6933547,85.86003246,15329,0.534004867,0.56955428,0.396233112,350
Manipur,Manipur_City_5,Dowry Death,2021,Morning,Winter,33.36634851,83.33917689,15875,0.946071928,0.256023765,0.013699319,112
Jharkhand,Jharkhand_City_3,Dowry Death,2019,Afternoon,Summer,30.24846038,79.65599649,8536,0.583825061,0.664605766,0.115957919,352
Uttar Pradesh,Uttar Pradesh_City_5,Domestic Violence,2022,Morning,Monsoon,10.65928072,77.75474345,12776,0.785817446,0.20267709,0.192251199,288
Haryana,Haryana_City_2,Kidnapping,2020,Morning,Winter,16.59293549,74.77462478,7932,0.421812517,0.928271282,0.027589264,221
Goa,Goa_City_3,Human Trafficking,2023,Evening,Summer,35.73605523,91.14169034,12360,0.271528802,0.534064621,0.35285614,139
Bihar,Bihar_City_4,Kidnapping,2022,Evening,Monsoon,34.20799505,96.68636238,14999,0.251989128,0.521264189,0.336752037,396
Nagaland,Nagaland_City_4,Dowry Death,2019,Morning,Summer,11.4898241,69.36141536,17308,0.376388967,0.34915061,0.314037945,395
Telangana,Telangana_City_3,Human Trafficking,2021,Morning,Winter,31.22232093,86.26355977,826,0.907028708,0.942201827,0.398014051,93
Haryana,Haryana_City_5,Human Trafficking,2019,Evening,Monsoon,15.54676767,82.94218981,14651,0.917948918,0.570704599,0.252945579,168
Arunachal Pradesh,Arunachal Pradesh_City_2,Dowry Death,2023,Night,Summer,33.9527218,92.94367768,17774,0.90196869,0.412480034,0.060510819,254
Goa,Goa_City_5,Rape,2022,Morning,Summer,35.71389345,93.0017009,13874,0.724193585,0.640685896,0.043924836,198
Kerala,Kerala_City_4,Cyber Crime,2021,Morning,Winter,18.80796699,75.53285973,4072,0.239026865,0.626082016,0.385227569,300
Karnataka,Karnataka_City_4,Dowry Death,2021,Night,Monsoon,27.81450415,70.20779493,12980,0.249213621,0.906325015,0.211270818,291
Arunachal Pradesh,Arunachal Pradesh_City_4,Assault,2021,Evening,Summer,27.20124829,83.76958833,1412,0.902903989,0.837940817,0.266796216,99
Bihar,Bihar_City_4,Eve Teasing,2019,Night,Summer,33.15153183,88.54252632,462,0.390952025,0.94407228,0.051275297,315
Arunachal Pradesh,Arunachal Pradesh_City_2,Eve Teasing,2021,Night,Monsoon,13.48742465,93.56747685,17040,0.897474822,0.223397826,0.332068533,363
Manipur,Manipur_City_1,Domestic Violence,2021,Afternoon,Summer,29.56173943,72.66203699,18887,0.644945388,0.805308643,0.110888449,293
Manipur,Manipur_City_4,Assault,2019,Afternoon,Monsoon,10.43884851,77.46657372,2164,0.292675085,0.50135629,0.013538238,316
Goa,Goa_City_3,Eve Teasing,2019,Night,Winter,11.10243853,90.06980917,9539,0.872097202,0.513720969,0.080003956,174
Haryana,Haryana_City_1,Dowry Death,2019,Afternoon,Summer,30.87540247,73.03885078,12871,0.254269647,0.440770854,0.286187115,330
Jammu and Kashmir,Jammu and Kashmir_City_3,Eve Teasing,2021,Night,Summer,9.679693356,70.16613811,2453,0.992118698,0.740841806,0.18392374,364
Meghalaya,Meghalaya_City_2,Dowry Death,2023,Afternoon,Summer,25.23747992,79.12475555,11396,0.458888175,0.590914552,0.310458893,163
Gujarat,Gujarat_City_5,Eve Teasing,2020,Morning,Summer,8.029854916,72.60921022,13125,0.9976996,0.540945042,0.186040939,94
Tripura,Tripura_City_4,Cyber Crime,2023,Evening,Winter,23.28369879,91.95170221,17582,0.37661569,0.265904836,0.275394728,161
Jharkhand,Jharkhand_City_3,Human Trafficking,2023,Night,Winter,11.80871867,93.17357535,11745,0.320846313,0.545867841,0.378010209,251
Manipur,Manipur_City_5,Dowry Death,2021,Evening,Monsoon,30.04272827,80.82666411,5726,0.527467205,0.915279363,0.099682296,261
Tripura,Tripura_City_5,Rape,2022,Evening,Winter,26.89833794,78.68726397,5490,0.577225968,0.634586245,0.072105838,235
Tamil Nadu,Tamil Nadu_City_2,Human Trafficking,2022,Afternoon,Summer,10.64377022,72.45608311,17534,0.875826582,0.808819193,0.254225925,227
Arunachal Pradesh,Arunachal Pradesh_City_3,Dowry Death,2022,Night,Monsoon,34.44324501,96.05782664,15351,0.837229833,0.585217881,0.055750194,453
Uttar Pradesh,Uttar Pradesh_City_2,Dowry Death,2019,Afternoon,Monsoon,20.47887095,73.81521707,9308,0.328660375,0.721215573,0.137110931,200
Odisha,Odisha_City_3,Assault,2022,Morning,Monsoon,36.54619081,72.33783864,17873,0.979759881,0.777510102,0.266223704,265
Jammu and Kashmir,Jammu and Kashmir_City_4,Harassment,2020,Night,Monsoon,35.6268105,94.32674094,17262,0.584405558,0.283944143,0.104397556,258
Chhattisgarh,Chhattisgarh_City_1,Dowry Death,2021,Evening,Monsoon,22.46775645,85.9265163,16119,0.476813254,0.820643789,0.377082627,97
Tamil Nadu,Tamil Nadu_City_4,Assault,2021,Night,Summer,10.54812848,78.16818101,14551,0.486241081,0.457675762,0.391211891,288
Rajasthan,Rajasthan_City_4,Eve Teasing,2019,Morning,Winter,28.10262428,91.82178111,205,0.333986066,0.283654272,0.258207797,265
Rajasthan,Rajasthan_City_3,Domestic Violence,2019,Night,Winter,8.9159982,95.15015514,652,0.767248416,0.896775299,0.288493904,220
Tripura,Tripura_City_1,Dowry Death,2020,Evening,Winter,31.6299283,70.32333055,13495,0.642401162,0.67798069,0.315694696,82
Arunachal Pradesh,Arunachal Pradesh_City_3,Harassment,2021,Evening,Summer,9.181869077,72.75598495,4209,0.265303986,0.248281667,0.106370261,177
Maharashtra,Maharashtra_City_2,Domestic Violence,2023,Night,Monsoon,33.28172343,74.35720563,19911,0.795423252,0.897466223,0.17912558,201
Sikkim,Sikkim_City_2,Stalking,2020,Morning,Monsoon,26.94462756,77.63712414,3020,0.594621477,0.265221192,0.167271931,241
West Bengal,West Bengal_City_4,Human Trafficking,2020,Night,Monsoon,8.888922564,75.47280377,7105,0.968624441,0.532725893,0.340035664,151
Chhattisgarh,Chhattisgarh_City_2,Dowry Death,2021,Night,Summer,30.26399275,82.64050157,16021,0.893625197,0.662940327,0.181060013,245
Sikkim,Sikkim_City_1,Dowry Death,2021,Afternoon,Winter,22.1133993,93.3292739,11271,0.537376741,0.421462238,0.241016628,357
Manipur,Manipur_City_3,Human Trafficking,2021,Night,Monsoon,18.41537986,79.1315674,629,0.705248176,0.786490418,0.061311397,173
Himachal Pradesh,Himachal Pradesh_City_4,Kidnapping,2020,Night,Summer,25.45380613,86.34367546,625,0.977116075,0.344781562,0.343210186,200
Bihar,Bihar_City_2,Rape,2023,Evening,Monsoon,25.1946336,84.80303208,3255,0.674360681,0.330819098,0.162521799,143
Jharkhand,Jharkhand_City_3,Harassment,2022,Evening,Winter,32.88160136,68.26188172,13860,0.818778501,0.304698929,0.388230208,102
