state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count,severity_weight,severity_score,time_severity,norm_crime_count,norm_severity_score,norm_population_density,norm_police_presence_index,norm_street_lighting_index,norm_repeat_offender_rate,norm_time_severity,police_risk,lighting_risk,risk_index,final_risk_index,risk_level
West Bengal,West Bengal_City_1,Rape,2021,Night,Monsoon,31.64838143,88.49886297,14086,0.832140432,0.68476798,0.371257343,184,5,920,7,0.31278538812785384,0.35664939550949915,0.7031878519710377,0.791601913203487,0.6066201721818214,0.9266458859192229,1.0,0.20839808679651295,0.3933798278181786,0.55676325972506,0.633107708102824,Medium Risk
Uttarakhand,Uttarakhand_City_3,Stalking,2021,Evening,Winter,32.65111876,81.03406955,19588,0.25084668,0.448785857,0.136821496,236,3,708,5,0.43150684931506844,0.2651122625215889,0.9798370876910699,0.06366236277496973,0.3104021744369491,0.32399118452016185,0.6,0.9363376372250303,0.6895978255630508,0.4920339375456997,0.5508314952480835,Medium Risk
Sikkim,Sikkim_City_3,Assault,2023,Afternoon,Monsoon,25.14763584,75.966932,9862,0.57777194,0.295675397,0.288165467,388,3,1164,3,0.7785388127853881,0.4620034542314335,0.49079847144006433,0.47306264614172805,0.11820933661339783,0.7130449782070682,0.20000000000000007,0.526937353858272,0.8817906633866022,0.5666085614915157,0.6456218843135916,Medium Risk
Telangana,Telangana_City_2,Stalking,2022,Night,Summer,24.27703873,90.35804822,306,0.542032815,0.220335301,0.052077657,260,3,780,7,0.48630136986301364,0.29620034542314333,0.010307723250201125,0.42830743847658775,0.02363822205898536,0.10614364268090083,1.0,0.5716925615234123,0.9763617779410146,0.43998046452191586,0.4846673136664179,Medium Risk
Jammu and Kashmir,Jammu and Kashmir_City_5,Domestic Violence,2021,Morning,Winter,26.45590193,77.11632345,12483,0.756412869,0.311465164,0.245722778,241,4,964,2,0.44292237442922366,0.3756476683937824,0.622586484312148,0.6967701900418262,0.13802953784787042,0.6039392830107692,0.0,0.30322980995817383,0.8619704621521296,0.4157520651940969,0.4538710551376841,Medium Risk
Uttarakhand,Uttarakhand_City_1,Cyber Crime,2022,Evening,Winter,29.91098302,74.6351468,16298,0.431801162,0.32897703,0.372582084,173,2,346,5,0.28767123287671226,0.10880829015544041,0.8144106999195494,0.29026711092837026,0.16001141434491545,0.930051343753434,0.6,0.7097328890716297,0.8399885856550846,0.48755472604934386,0.5451380545308395,Medium Risk
Gujarat,Gujarat_City_5,Cyber Crime,2020,Night,Summer,16.57337689,71.05933354,14031,0.349256047,0.914047199,0.220343474,393,2,786,7,0.7899543378995433,0.2987910189982729,0.700422365245374,0.18689793880767924,0.894424308839614,0.5386977379588471,1.0,0.8131020611923208,0.10557569116038601,0.6189671240604538,0.7121738594254801,High Risk
Delhi,Delhi_City_4,Stalking,2021,Afternoon,Winter,15.89183523,86.7830135,6876,0.854411813,0.888584467,0.012711331,178,3,534,3,0.2990867579908676,0.18998272884283246,0.34065768302493965,0.819491803670712,0.8624620593511039,0.0049462287857976114,0.20000000000000007,0.18050819632928805,0.13753794064889613,0.20297738117769784,0.18341719276407992,Low Risk
Telangana,Telangana_City_5,Eve Teasing,2021,Night,Monsoon,22.06006917,88.08064495,13645,0.470092137,0.954327763,0.136049143,251,2,502,7,0.4657534246575342,0.17616580310880828,0.6810136765888978,0.3382179361885213,0.9449867322318053,0.3220057280614077,1.0,0.6617820638114786,0.05501326776819471,0.4627218003886703,0.5135733940543699,Medium Risk
Madhya Pradesh,Madhya Pradesh_City_3,Domestic Violence,2020,Night,Winter,19.71124896,69.88187517,6685,0.969957836,0.401425837,0.203926917,258,4,1032,7,0.4817351598173515,0.40500863557858374,0.331053901850362,0.9641871831531721,0.25095322076533094,0.4964963622586726,1.0,0.03581281684682791,0.7490467792346691,0.5185087731768958,0.5844831563245086,Medium Risk
Tripura,Tripura_City_1,Assault,2020,Afternoon,Monsoon,16.26037434,69.06972147,4837,0.528829611,0.226440586,0.144577787,264,3,792,3,0.49543378995433784,0.3013816925734024,0.23813354786806112,0.41177339806946506,0.031301918254996786,0.34392996647857643,0.20000000000000007,0.5882266019305349,0.9686980817450033,0.38245295457430456,0.4115451876485112,Medium Risk
Maharashtra,Maharashtra_City_5,Assault,2022,Night,Monsoon,23.39710292,80.98571177,5031,0.264682661,0.495723565,0.104442376,485,3,1455,7,0.9999999999999999,0.5876511226252159,0.2478881737731295,0.0809888139095718,0.3693210183974022,0.24075549703946547,1.0,0.9190111860904282,0.6306789816025977,0.685299430974188,0.7964875957513113,High Risk
Manipur,Manipur_City_5,Kidnapping,2023,Morning,Monsoon,36.51927109,79.56590883,11874,0.272231816,0.868241996,0.135104225,389,4,1556,2,0.7808219178082191,0.6312607944732297,0.5919650040225262,0.09044243091114457,0.836927048680812,0.3195766657724114,0.0,0.9095575690888554,0.16307295131918798,0.5137852043588786,0.5784791176536214,Medium Risk
Telangana,Telangana_City_1,Eve Teasing,2021,Evening,Winter,17.45280825,74.38699038,2086,0.847600837,0.47893279,0.047508855,203,2,406,5,0.3561643835616438,0.13471502590673576,0.09980893000804505,0.8109625896711445,0.34824429577174537,0.09439880911429431,0.6,0.18903741032885546,0.6517557042282547,0.2789002224628991,0.2799212753004132,Low Risk
Jharkhand,Jharkhand_City_4,Stalking,2022,Morning,Monsoon,23.01478917,92.29359307,1902,0.472853081,0.290778817,0.370630511,242,3,726,2,0.4452054794520547,0.27288428324697755,0.09055711987127917,0.3416753969425779,0.11206287473332743,0.9250345143793262,0.0,0.6583246030574221,0.8879371252666726,0.4046464162349896,0.43975487553182235,Medium Risk
Delhi,Delhi_City_3,Eve Teasing,2020,Morning,Monsoon,27.13953733,91.69944381,9308,0.613308713,0.40866334,0.398538943,379,2,758,2,0.7579908675799086,0.2867012089810017,0.46294247787610615,0.5175644534849115,0.26003814050449486,0.9967775859646029,0.0,0.48243554651508846,0.7399618594955051,0.5181037751230583,0.5839683709851695,Medium Risk
Jharkhand,Jharkhand_City_5,Human Trafficking,2020,Afternoon,Summer,24.19051015,93.59645395,7258,0.471223833,0.47936766,0.293122715,243,5,1215,3,0.4474885844748858,0.4840241796200345,0.3598652453740949,0.33963513063560996,0.34879016898892673,0.7257883741144402,0.20000000000000007,0.66036486936439,0.6512098310110732,0.4733117066970788,0.527034022965763,Medium Risk
Tripura,Tripura_City_2,Eve Teasing,2023,Morning,Monsoon,32.83340446,79.73073569,12283,0.880742759,0.948507995,0.316282854,167,2,334,2,0.273972602739726,0.10362694300518135,0.6125301689460981,0.8524653853196638,0.9376814329897112,0.7853252019162301,0.0,0.14753461468033624,0.06231856701028882,0.2839443427028024,0.2863327607995696,Low Risk
Karnataka,Karnataka_City_4,Harassment,2019,Evening,Summer,24.83991202,78.79620023,5692,0.730801415,0.204049267,0.07271514,302,2,604,5,0.5821917808219178,0.22020725388601037,0.2811242960579244,0.6646976101346183,0.0031950786489868266,0.1591955812566307,0.6,0.33530238986538174,0.9968049213510132,0.4091968910320888,0.4455388976780583,Medium Risk
Haryana,Haryana_City_1,Domestic Violence,2023,Morning,Winter,28.06496073,86.90687653,14092,0.340740202,0.214460291,0.202618549,281,4,1124,2,0.5342465753424657,0.44473229706390327,0.7034895414320192,0.17623376022414794,0.016263579959799268,0.4931329938299523,0.0,0.8237662397758521,0.9837364200402008,0.4794387543100897,0.5348219968948328,Medium Risk
Telangana,Telangana_City_4,Assault,2023,Afternoon,Winter,28.9072578,76.93376296,4655,0.607051261,0.709066095,0.107680109,239,3,717,3,0.4383561643835616,0.26899827288428324,0.22898230088495575,0.5097284036735452,0.6371205290850204,0.24907860563951195,0.20000000000000007,0.4902715963264548,0.36287947091497963,0.3097561836134553,0.3191417018704023,Low Risk
Sikkim,Sikkim_City_4,Eve Teasing,2020,Evening,Monsoon,36.21730609,79.39983402,10777,0.92487903,0.547515492,0.146530579,196,2,392,5,0.34018264840182644,0.12867012089810018,0.5368061142397426,0.9077361277950298,0.4343331503345686,0.3489499294864285,0.6,0.09226387220497023,0.5656668496654313,0.34613282926544026,0.36537936572714685,Medium Risk
West Bengal,West Bengal_City_5,Rape,2020,Afternoon,Monsoon,27.39879773,93.06085939,8096,0.599354704,0.657603359,0.309736066,124,5,620,3,0.17579908675799086,0.22711571675302245,0.4020012067578439,0.5000901988534332,0.5725216161563791,0.7684956401501791,0.20000000000000007,0.4999098011465668,0.4274783838436209,0.332572576825574,0.3481431862254527,Medium Risk
Jharkhand,Jharkhand_City_4,Cyber Crime,2022,Night,Winter,35.27329895,95.66392873,3544,0.906795218,0.798175019,0.38169802,295,2,590,7,0.5662100456621004,0.2141623488773748,0.17311946902654868,0.885090224700386,0.748975048880488,0.9534853098399131,1.0,0.11490977529961399,0.25102495111951195,0.5237245783344668,0.5911128672639197,Medium Risk
Haryana,Haryana_City_2,Assault,2021,Morning,Monsoon,35.94497934,92.73727421,290,0.444557615,0.352728825,0.114705194,280,3,840,2,0.5319634703196346,0.32210708117443865,0.009503218020917133,0.3062416962906476,0.18982599973936365,0.2671377060593297,0.0,0.6937583037093524,0.8101740002606364,0.32973523078300887,0.34453668952379124,Medium Risk
Nagaland,Nagaland_City_2,Human Trafficking,2020,Morning,Winter,24.14723661,95.14848845,669,0.944013468,0.256332905,0.0914783,234,5,1170,2,0.4269406392694063,0.46459412780656306,0.028559935639581653,0.9316977034140677,0.0688244338149191,0.2074292738928204,0.0,0.06830229658593234,0.9311755661850809,0.30682796955542424,0.3154197045589639,Low Risk
Tamil Nadu,Tamil Nadu_City_1,Domestic Violence,2019,Morning,Summer,12.06243644,83.03155992,1509,0.458040611,0.878935836,0.063282319,328,4,1312,2,0.641552511415525,0.5259067357512953,0.07079646017699115,0.3231261131846889,0.8503505564988345,0.13494701178292817,0.0,0.676873886815311,0.1496494435011655,0.36051267609266724,0.38365731609865167,Medium Risk
Assam,Assam_City_5,Domestic Violence,2021,Night,Winter,18.42524339,76.51416348,19290,0.535824685,0.404965555,0.248490347,232,4,928,7,0.42237442922374424,0.3601036269430052,0.9648531777956556,0.4205331533657411,0.25539647335248344,0.6110537601295193,1.0,0.579466846634259,0.7446035266475166,0.5999664145047695,0.6880224181441582,High Risk
Nagaland,Nagaland_City_2,Human Trafficking,2023,Night,Winter,13.63394465,70.05728659,8273,0.836634136,0.912004273,0.141818111,207,5,1035,7,0.365296803652968,0.4063039723661485,0.41090104585679804,0.797229265739557,0.891859913530479,0.3368357795740534,1.0,0.202770734260443,0.108140086469521,0.4500612065630652,0.4974807535416743,Medium Risk
Uttar Pradesh,Uttar Pradesh_City_4,Rape,2020,Morning,Winter,10.72547626,84.77012409,953,0.462522134,0.324033293,0.392917946,276,5,1380,2,0.5228310502283104,0.5552677029360967,0.04283990345937248,0.3287382117607202,0.15380575835326543,0.9823279174862154,0.0,0.6712617882392797,0.8461942416467345,0.49703066775427207,0.5571827441778815,Medium Risk
Sikkim,Sikkim_City_4,Cyber Crime,2022,Night,Summer,25.13416456,68.88450725,10007,0.231067788,0.442612412,0.219462147,312,2,624,7,0.6050228310502282,0.2288428324697755,0.4980893000804505,0.038893753614941795,0.30265291998563587,0.5364321464683959,1.0,0.9611062463850581,0.6973470800143642,0.5716628341782763,0.6520462743952541,Medium Risk
West Bengal,West Bengal_City_1,Assault,2019,Night,Monsoon,32.00820111,75.87474456,16079,0.698312381,0.268277972,0.030155871,260,3,780,7,0.48630136986301364,0.29620034542314333,0.8033990345937249,0.6240124097132369,0.08381855194847082,0.04979019859364009,1.0,0.3759875902867631,0.9161814480515291,0.4980423139868723,0.5584686285030175,Medium Risk
Karnataka,Karnataka_City_1,Domestic Violence,2020,Afternoon,Monsoon,12.01223968,71.84961725,4565,0.613040279,0.458365178,0.320122616,412,4,1648,3,0.8333333333333333,0.6709844559585492,0.2244569589702333,0.517228300335824,0.3224266754894098,0.7951959219923859,0.20000000000000007,0.482771699664176,0.6775733245105902,0.60582178272759,0.6954650655568524,High Risk
Manipur,Manipur_City_2,Rape,2020,Evening,Summer,29.57723665,75.27495529,8408,0.264698373,0.54265158,0.278514961,257,5,1285,5,0.47945205479452047,0.5142487046632124,0.41768905872888173,0.08100848965213225,0.42822769516054565,0.68823681475338,0.6,0.9189915103478677,0.5717723048394543,0.5579678087096945,0.6346387874547619,Medium Risk
Haryana,Haryana_City_1,Dowry Death,2023,Morning,Winter,13.02553528,72.53667424,13507,0.639381332,0.771676738,0.267476977,345,5,1725,2,0.6803652968036529,0.7042314335060449,0.6740748189863234,0.5502145387267603,0.7157129202000838,0.659861918010018,0.0,0.4497854612732397,0.2842870797999162,0.5492395792312174,0.623544500627127,Medium Risk
Rajasthan,Rajasthan_City_5,Harassment,2019,Afternoon,Winter,22.98419147,87.05622853,17064,0.689376597,0.53568005,0.106615086,231,2,462,3,0.4200913242009132,0.15889464594127806,0.8529263877715205,0.6128223520783385,0.4194766396502165,0.24634079430962547,0.20000000000000007,0.38717764792166154,0.5805233603497835,0.345375300872716,0.36441648576510144,Medium Risk
Maharashtra,Maharashtra_City_4,Dowry Death,2020,Night,Winter,12.60074698,71.48477479,9535,0.236802114,0.232583042,0.343629628,415,5,2075,7,0.8401826484018264,0.8553540587219344,0.4743563958165728,0.04607470588922424,0.03901227357524267,0.8556244421139019,1.0,0.9539252941107758,0.9609877264247573,0.8454091337064594,1.0000000000000002,
Goa,Goa_City_4,Harassment,2022,Evening,Summer,10.83719066,82.25686038,4552,0.518803788,0.692680078,0.257686524,271,2,542,5,0.5114155251141552,0.1934369602763385,0.22380329847144007,0.3992183120012151,0.6165518814050712,0.6346939984926732,0.6,0.6007816879987848,0.3834481185949288,0.4330090412983541,0.4758060699250901,Medium Risk
Jharkhand,Jharkhand_City_4,Eve Teasing,2022,Afternoon,Winter,18.86376582,86.14993756,2589,0.600831907,0.631501959,0.27674587,103,2,206,3,0.1278538812785388,0.048359240069084625,0.1251005631536605,0.5019400630296984,0.5397576747694375,0.6836890844382599,0.20000000000000007,0.4980599369703016,0.4602423252305625,0.2370318124280541,0.22670313397071978,Low Risk
Jharkhand,Jharkhand_City_2,Harassment,2023,Morning,Monsoon,10.04649367,86.63015907,16447,0.668620465,0.952184193,0.234434929,245,2,490,2,0.45205479452054786,0.17098445595854922,0.8219026548672566,0.5868299698366057,0.9422960029284422,0.5749220684696299,0.0,0.41317003016339426,0.05770399707155782,0.347732089738692,0.3674121553606121,Medium Risk
Karnataka,Karnataka_City_1,Harassment,2023,Night,Monsoon,26.65535833,81.28933382,2838,0.856511581,0.700751736,0.329966469,293,2,586,7,0.5616438356164383,0.21243523316062174,0.1376206757843926,0.8221212903436121,0.6266838792905269,0.8205011147188687,1.0,0.17787870965638786,0.37331612070947306,0.5079167434988276,0.5710198284382428,Medium Risk
Jammu and Kashmir,Jammu and Kashmir_City_5,Stalking,2019,Morning,Winter,13.67794291,70.01147773,5826,0.501807267,0.231170506,0.251119015,344,3,1032,2,0.6780821917808219,0.40500863557858374,0.2878620273531778,0.3779339960886146,0.03723917915460073,0.61781117009429,0.0,0.6220660039113854,0.9627608208453993,0.47147192632715196,0.5246955130567199,Medium Risk
Assam,Assam_City_5,Assault,2020,Night,Winter,10.06447081,77.25029328,16381,0.745290935,0.472499656,0.111670866,371,3,1113,7,0.7397260273972602,0.43998272884283246,0.8185840707964601,0.6828424717272903,0.340169065120886,0.2593374824237915,1.0,0.3171575282727097,0.659830934879114,0.6145356416608291,0.7065410862571891,High Risk
Delhi,Delhi_City_5,Domestic Violence,2023,Morning,Monsoon,26.23934256,93.44668839,7687,0.534356825,0.974064441,0.223709034,271,4,1084,2,0.5114155251141552,0.427461139896373,0.3814360418342719,0.4186949891934691,0.9697613175477247,0.5473494462312626,0.0,0.581305010806531,0.030238682452275345,0.38554237203368896,0.41547208754375703,Medium Risk
Assam,Assam_City_4,Human Trafficking,2023,Evening,Summer,36.72464912,79.96591263,5173,0.400013159,0.66443521,0.348175477,328,5,1640,5,0.641552511415525,0.6675302245250432,0.25502815768302495,0.25045979400258916,0.581097338750888,0.8673102713365131,0.6,0.7495402059974108,0.418902661249112,0.6312921838162475,0.7278400089505005,High Risk
Gujarat,Gujarat_City_3,Domestic Violence,2021,Night,Winter,32.8939698,80.44082679,5744,0.791927008,0.390588922,0.157314266,208,4,832,7,0.36757990867579904,0.3186528497409326,0.28373893805309736,0.7412436533958859,0.2373501171817965,0.37667111526978675,1.0,0.25875634660411406,0.7626498828182036,0.45750306217107656,0.5069399549580337,Medium Risk
Sikkim,Sikkim_City_3,Dowry Death,2021,Morning,Winter,31.96726652,77.28143843,798,0.27998791,0.242788237,0.383831184,227,5,1135,2,0.410958904109589,0.4494818652849741,0.03504625905068383,0.10015519241944532,0.05182240677968031,0.9589689478155303,0.0,0.8998448075805547,0.9481775932203197,0.4548612804660824,0.5035820363740326,Medium Risk
Manipur,Manipur_City_5,Human Trafficking,2019,Morning,Monsoon,18.29225052,95.74722567,19266,0.960485718,0.65875031,0.256416513,130,5,650,2,0.18949771689497716,0.2400690846286701,0.9636464199517296,0.9523254879348726,0.5739613333875502,0.631429232844532,0.0,0.047674512065127406,0.4260386666124498,0.32215638623664344,0.33490336406795046,Medium Risk
Gujarat,Gujarat_City_5,Kidnapping,2020,Evening,Winter,25.47078685,84.05738852,7751,0.956955634,0.82503684,0.054251195,217,4,868,5,0.38812785388127846,0.3341968911917098,0.38465406275140784,0.9479048524969489,0.7826935133609572,0.1117310684570003,0.6,0.05209514750305111,0.21730648663904284,0.33927633451904254,0.35666420539179106,Medium Risk
Delhi,Delhi_City_2,Cyber Crime,2021,Afternoon,Summer,22.33818884,69.66920404,4829,0.553224401,0.910163346,0.146856855,216,2,432,3,0.38584474885844744,0.1459412780656304,0.23773129525341913,0.4423223802394954,0.8895490786968825,0.34978867393558133,0.20000000000000007,0.5576776197605047,0.11045092130311751,0.2725943643998797,0.27190601880217363,Low Risk
Uttarakhand,Uttarakhand_City_5,Kidnapping,2023,Morning,Monsoon,36.09090638,87.9528703,17437,0.694574451,0.280898141,0.042801654,264,4,1056,2,0.49543378995433784,0.41537132987910186,0.8716814159292035,0.6193314939552892,0.09966009598094788,0.08229819886470069,0.0,0.3806685060447108,0.9003399040190521,0.3912645718841736,0.4227454671659208,Medium Risk
Uttarakhand,Uttarakhand_City_5,Kidnapping,2019,Afternoon,Summer,10.11012718,91.83394172,19165,0.317283857,0.610660935,0.100958948,254,4,1016,3,0.4726027397260274,0.39810017271157166,0.9585679806918744,0.1468599691327271,0.5135968524081911,0.23180079029111939,0.20000000000000007,0.853140030867273,0.4864031475918089,0.44527980364520925,0.4914032030441776,Medium Risk
Bihar,Bihar_City_1,Eve Teasing,2020,Evening,Summer,18.85385308,78.74862226,8791,0.389348155,0.926154965,0.240836608,155,2,310,5,0.24657534246575344,0.09326424870466321,0.43694690265486724,0.2371042776386728,0.9096226558842477,0.5913786044284743,0.6,0.7628957223613272,0.09037734411575227,0.350025032046216,0.37032667080748694,Medium Risk
Punjab,Punjab_City_2,Cyber Crime,2020,Evening,Monsoon,28.53725467,81.96834265,19407,0.6467234,0.539377607,0.36347821,168,2,336,5,0.27625570776255703,0.10449050086355785,0.9707361222847948,0.5594088258849259,0.4241180206038388,0.9066483849600007,0.6,0.4405911741150741,0.5758819793961611,0.46908107980457003,0.5216565534203144,Medium Risk
Meghalaya,Meghalaya_City_3,Harassment,2019,Night,Summer,22.28612802,68.3292557,9535,0.65717842,0.792779089,0.309205993,112,2,224,7,0.14840182648401826,0.056131260794473226,0.4743563958165728,0.5725013845651734,0.7422017748703569,0.7671330030380541,1.0,0.4274986154348266,0.2577982251296431,0.39790370388521173,0.43118434184121157,Medium Risk
Arunachal Pradesh,Arunachal Pradesh_City_1,Cyber Crime,2020,Evening,Winter,24.91769419,95.90300391,1314,0.582171913,0.266313057,0.216064347,235,2,470,5,0.4292237442922374,0.1623488773747841,0.06099155269509251,0.47857262170313347,0.08135208042241016,0.5276975601386281,0.6,0.5214273782968666,0.9186479195775898,0.3951507096007817,0.4276850630583128,Medium Risk
Telangana,Telangana_City_4,Eve Teasing,2022,Morning,Winter,35.93345364,68.35247977,1952,0.458149111,0.234720627,0.370610899,386,2,772,2,0.7739726027397259,0.2927461139896373,0.09307119871279164,0.3232619850067235,0.04169549017088908,0.9249840986082097,0.0,0.6767380149932765,0.958304509829111,0.4964865400859708,0.5564911138262882,Medium Risk
Assam,Assam_City_2,Eve Teasing,2019,Evening,Monsoon,10.14010038,84.06177425,13943,0.260347638,0.332972346,0.094555552,298,2,596,5,0.5730593607305935,0.21675302245250433,0.6959975864843121,0.07556017360015854,0.16502655909754593,0.2153398405101759,0.6,0.9244398263998415,0.8349734409024541,0.4773244938858468,0.5321346005984008,Medium Risk
Nagaland,Nagaland_City_2,Rape,2020,Morning,Summer,26.19918432,84.94511505,19187,0.789680565,0.932203473,0.383893939,317,5,1585,2,0.6164383561643835,0.6437823834196891,0.95967417538214,0.7384304893082674,0.9172150824050644,0.9591302695428612,0.0,0.2615695106917326,0.08278491759493556,0.5721098642799948,0.6526144858728832,Medium Risk
Kerala,Kerala_City_1,Cyber Crime,2020,Afternoon,Monsoon,33.81764973,81.21404583,767,0.468528052,0.335743923,0.262270861,296,2,592,3,0.5684931506849314,0.21502590673575128,0.033487530168946095,0.33625927186809007,0.16850559801413262,0.646478767252238,0.20000000000000007,0.6637407281319099,0.8314944019858674,0.4009620889657899,0.43507179706875365,Medium Risk
Bihar,Bihar_City_3,Eve Teasing,2022,Afternoon,Winter,14.65244763,75.71219982,5064,0.979515846,0.988968596,0.282283068,166,2,332,3,0.271689497716895,0.10276338514680483,0.24954746580852777,0.9761564387635289,0.9884698489231256,0.6979233342340153,0.20000000000000007,0.023843561236471134,0.011530151076874384,0.2550251530475473,0.2495741277171879,Low Risk
West Bengal,West Bengal_City_2,Stalking,2022,Morning,Winter,16.11314171,79.92499491,2879,0.416766114,0.3065481,0.039718148,214,3,642,2,0.3812785388127854,0.23661485319516407,0.13968222043443282,0.2714390983372575,0.13185736330199005,0.07437155534378807,0.0,0.7285609016627426,0.86814263669801,0.2594324802650365,0.25517619769193356,Low Risk
Telangana,Telangana_City_3,Rape,2020,Evening,Winter,20.08253267,84.85371601,10236,0.534594429,0.946182787,0.347764917,74,5,370,5,0.06164383561643835,0.11917098445595856,0.5096037811745776,0.41899253470870107,0.9347627014801199,0.8662548614349446,0.6,0.5810074652912989,0.06523729851988014,0.3484145505413576,0.3682796183337226,Medium Risk
Uttar Pradesh,Uttar Pradesh_City_1,Rape,2019,Night,Winter,8.76464226,78.91743764,2293,0.989820903,0.320333513,0.241710979,201,5,1005,7,0.35159817351598166,0.39335060449050085,0.11021721641190668,0.9890612025493268,0.14916158696534842,0.5936263144125067,1.0,0.010938797450673166,0.8508384130346516,0.4793917238289535,0.5347622173429026,Medium Risk
Gujarat,Gujarat_City_4,Cyber Crime,2021,Afternoon,Winter,36.12751754,92.42144877,13872,0.250809464,0.229457494,0.062202326,160,2,320,3,0.25799086757990863,0.09758203799654577,0.6924275945293644,0.06361575811387449,0.03508891040414569,0.1321707176826148,0.20000000000000007,0.9363842418861255,0.9649110895958544,0.3030263600735412,0.31058755090137874,Low Risk
Andhra Pradesh,Andhra Pradesh_City_2,Rape,2021,Evening,Winter,28.05971752,83.49604198,9960,0.99730947,0.644345364,0.309905092,212,5,1060,5,0.37671232876712324,0.4170984455958549,0.4957260659694288,0.9984389467218358,0.5558794371511009,0.7689301484169916,0.6,0.0015610532781642483,0.4441205628488991,0.47564890325658926,0.5300047891523888,Medium Risk
Tripura,Tripura_City_3,Cyber Crime,2023,Night,Monsoon,29.95535486,78.95766593,15544,0.560435308,0.303327532,0.382079901,404,2,808,7,0.8150684931506849,0.3082901554404145,0.7764983909895414,0.4513524177750818,0.12781472569693214,0.9544669958020644,1.0,0.5486475822249182,0.8721852743030678,0.7227011934434381,0.8440282661376867,High Risk
